ميشال اميلضاهر,روم كاثوليك,بعلبك الهرمل,المستقلة
احمد عهد ايه بيان,سني,بعلبك الهرمل,المستقلة
محمد احمد ظيطي,سني,بعلبك الهرمل,المستقلة
مهدي نايف زخهب,شيعي,بعلبك الهرمل,المستقلة
ساعد فوزي حماده,شيعي,بعلبك الهرمل,المستقلة
غاده اسد عساف,شيعي,بعلبك الهرمل,المستقلة
فيصل علي الصيني,شيعي,بعلبك الهرمل,المستقلة
فايز شهاب شكر,شيعي,بعلبك الهرمل,المستقلة
فادي علي يونس,شيعي,بعلبك الهرمل,المستقلة
سندريللا الياس مرهج,ماروني,بعلبك الهرمل,المستقلة
,,,
سليم ميشال كلاس,روم كاثوليك,بعلبك الهرمل,لانحة الكرامة والانعام
بكر محمود الحجري,سني,بعلبك الهرمل,لانحة الكرامة والانعام
صك محمد صلح,سني,بعلبك الهرمل,لانحة الكرامة والانعام
محمدصن الحاج سليمان,شيعي,بعلبك الهرمل,لانحة الكرامة والانعام
خالي عباس ياغي,شيعي,بعلبك الهرمل,لانحة الكرامة والانعام
khodor 7sein tlas,شيعي,بعلبك الهرمل,لانحة الكرامة والانعام
ya7ya m7amad shamas,شيعي,بعلبك الهرمل,لانحة الكرامة والانعام
محمد سلمان حميه,شيعي,بعلبك الهرمل,لانحة الكرامة والانعام
رفعت نايف المصري,شيعي,بعلبك الهرمل,لانحة الكرامة والانعام
انطوان البدوي حهثس,ماروني,بعلبك الهرمل,لانحة الكرامة والانعام
,,,
روبير الياس الخوري,روم كاثوليك,جزين,التكامل والكرامة
امين ادمون رزق,ماروني,جزين,التكامل والكرامة
انجل بشاره الخوند,ماروني,جزين,التكامل والكرامة
صن محمد عليمشمس الدهن,سني,صيدا,التكامل والكرامة
بهية بهاء الدهن الحريري,سني,صيدا,التكامل والكرامة
,,,
سليم انطوانخوري,روم كاثوليك,جزين,صيدا وجزين معأ
زياد ميشال لسد,ماروني,جزين,صيدا وجزين معأ
امل حكمت لهو زيد,ماروني,جزين,صيدا وجزين معأ
عهد الرحمن الدكتور نزيه البزري,سني,صيدا,صيدا وجزين معأ
بسام ابراهيم حمود,سني,صيدا,صيدا وجزين معأ
,,,
عجاج جرجي حداد,روم كاثوليك,جزين,قدرة التغيير
جوزاف الياس نهرا,ماروني,جزين,قدرة التغيير
سمير محمد البزري,سني,صيدا,قدرة التغيير
,,,
يوسف حنا بشاره حنا ساعد السكاف,روم كاثوليك,جزين,لكل الناس
ابراهيمسد عازار,ماروني,جزين,لكل الناس
عهد القادر نزيه البساط,سني,صيدا,لكل الناس
اسامهمعروف ساعد المصري,سني,صيدا,لكل الناس
,,,
7sein sa3id jashi,شيعي,صور,الأمل والوفاء
نواف محمود الموسوي,شيعي,صور,الأمل والوفاء
علي يوسف خريس,شيعي,صور,الأمل والوفاء
عناية محمد عز الدين,شيعي,صور,الأمل والوفاء
ميشال حنا موسى,روم كاثوليك,قرى صيدا,الأمل والوفاء
علي عادل عسيران,شيعي,قرى صيدا,الأمل والوفاء
نبيه مصطفى بري,شيعي,قرى صيدا,الأمل والوفاء
