جميل محمد علي بلوط,شيعي,النبطية,كلل وطني
ريما علي حميد,شيعي,بنت جبيل ,كلل وطني
صلاح مهدي نور الدين,شيعي,بنت جبيل ,كلل وطني
اكرم محمد قيس,درزي,مرجعيون وحاصبيا,كلل وطني
فادي عصام ابو جمره,روم ارثوذكس,مرجعيون وحاصبيا,كلل وطني
,,,
كريم عهدااة الراسي,روم ارثوذكس,عكار,القرار لعكار
اميل نعيم عهود,روم ارثوذكس,عكار,القرار لعكار
صك محمد ياسر المصري,سني,عكار,القرار لعكار
وجيه محمد البعريني,سني,عكار,القرار لعكار
عدنان محي الدهنمرعب,سني,عكار,القرار لعكار
صك محي الدهن السلوم,علوي,عكار,القرار لعكار
مخايل انطونيوس ضاهر,ماروني,عكار,القرار لعكار
,,,
وهبي خليل خليل قاطيثده,روم ارثوذكس,عكار,المستقبل لعكار
جان نقولاموس,روم ارثوذكس,عكار,المستقبل لعكار
محمد مصطفى سليمان,سني,عكار,المستقبل لعكار
وليد وجيه البعريني,سني,عكار,المستقبل لعكار
محمد طارق طلال المرعبي,سني,عكار,المستقبل لعكار
khodor monif habib,علوي,عكار,المستقبل لعكار
هادي فوزي حهيثد,ماروني,عكار,المستقبل لعكار
,,,
لسعد رامز درهام,روم ارثوذكس,عكار,عكار القوية
رياضى نقولارحل,روم ارثوذكس,عكار,عكار القوية
mhammad yehya yehya,سني,عكار,عكار القوية
محمد عهد الفتاح شديد,سني,عكار,عكار القوية
محمودخضر حداره,سني,عكار,عكار القوية
مصطفى عليصك,علوي,عكار,عكار القوية
جيمي جورح جهور,ماروني,عكار,عكار القوية
,,,
باسم احمد الخالد,سني,عكار,قرار عكار
كمل عهد الرحيم خزعل,سني,عكار,قرار عكار
عليخضر عمر,سني,عكار,قرار عكار
جورح انطونيوس نادر,ماروني,عكار,قرار عكار
,,,
ايلي اسعد ساعد,روم ارثوذكس,عكار,لبنان السيادة
جوزيف وههي وههي,روم ارثوذكس,عكار,لبنان السيادة
احمدصن جوهر,سني,عكار,لبنان السيادة
بدر علي اسماعيل,سني,عكار,لبنان السيادة
ابراهيممرعب مرعب,سني,عكار,لبنان السيادة
محمد ابراهيم رستم,علوي,عكار,لبنان السيادة
زياد سعود بيطار,ماروني,عكار,لبنان السيادة
