ليل سمعان هوموس,ماروني,البترون,كلناوطني
انطون حههب الخوري حرب,ماروني,البترون,كلناوطني
بسام نديمهطوس,روم ارثوذكس,الكورة,كلناوطني
فدوى فايز ناصيف,روم ارثوذكس,الكورة,كلناوطني
ادمون مخائيلطوق,ماروني,بشرى,كلناوطني
موريس رومانوس الكورى,ماروني,بشرى,كلناوطني
رياضى سركيس هزاله,ماروني,زغرتا,كلناوطني
انطوان يوسف هنن,ماروني,زغرتا,كلناوطني
انطونيا رامز خمره,ماروني,زغرتا,كلناوطني
,,,
بطرس جوزف الخوري حرب,ماروني,البترون,معا للشعر ولبنان
فايز ميشالضمن,روم ارثوذكس,الكورة,معا للشعر ولبنان
عهد ايه عليم الزاخم,روم ارثوذكس,الكورة,معا للشعر ولبنان
سليم عهدااة سعاده,روم ارثوذكس,الكورة,معا للشعر ولبنان
روي بهجت عهعدى الخوري,ماروني,بشرى,معا للشعر ولبنان
ملحم جبرانطوق,ماروني,بشرى,معا للشعر ولبنان
سليم بلهيوسف بله كرم,ماروني,زغرتا,معا للشعر ولبنان
اسطفانبطرس الدويهي,ماروني,زغرتا,معا للشعر ولبنان
طوني سليمان فرنجية,ماروني,زغرتا,معا للشعر ولبنان
,,,
فادي يوسف ساعد,ماروني,البترون,نبني الجمهورية القويه
سامر جورح سعاده,ماروني,البترون,نبني الجمهورية القويه
البر جميل اندراوس,روم ارثوذكس,الكورة,نبني الجمهورية القويه
فادي عهدااة كرم,روم ارثوذكس,الكورة,نبني الجمهورية القويه
جورح موسي منصور,روم ارثوذكس,الكورة,نبني الجمهورية القويه
سعيدا الياسطوق,ماروني,بشرى,نبني الجمهورية القويه
جوزاف جرجس اسحق,ماروني,بشرى,نبني الجمهورية القويه
ميشال ياخس الدويهي,ماروني,زغرتا,نبني الجمهورية القويه
ماريوس بطرس البعيني,ماروني,زغرتا,نبني الجمهورية القويه
قيصر فريدمعو.,ماروني,زغرتا,نبني الجمهورية القويه
,,,
انطوانجوزف قلايجيان,ارمن كاثوليك,بيروت الأولى,الوفاء لبيروت
جينا جميل الشماس,اقليات,بيروت الأولى,الوفاء لبيروت
روبير عبدو الاههضى,روم ارثوذكس,بيروت الأولى,الوفاء لبيروت
روجه امل الشويري,ماروني,بيروت الأولى,الوفاء لبيروت
,,,
اويدهسيغوص داكسيان,ارمن ارثوذكس,بيروت الأولى,بيروت الاولى
كارول نورا خاتشيك بابكيان,ارمن ارثوذكس,بيروت الأولى,بيروت الاولى
الينا نيشان كلونسيان,ارمن ارثوذكس,بيروت الأولى,بيروت الاولى
جان لرثف طالوزيان,ارمن كاثوليك,بيروت الأولى,بيروت الاولى
رياضى امين عاقل,اقليات,بيروت الأولى,بيروت الاولى
عماد نعيم واكيم,روم ارثوذكس,بيروت الأولى,بيروت الاولى
ميشال بهير فرعون,روم كاثوليك,بيروت الأولى,بيروت الاولى
نديم بشهر الجمك,ماروني,بيروت الأولى,بيروت الاولى
