فيصل عليم داود,درزي,البقاع الغربي وراشيا,الغد الأفضل
ايلي نجيب فرزلي,روم ارثوذكس,البقاع الغربي وراشيا,الغد الأفضل
عهد الرحيم يوسف مراد,سني,البقاع الغربي وراشيا,الغد الأفضل
محمد دهب نصر الية,شيعي,البقاع الغربي وراشيا,الغد الأفضل
ناجي نبيه هانم,ماروني,البقاع الغربي وراشيا,الغد الأفضل
,,,
جوزف جرجس ايوب,روم ارثوذكس,البقاع الغربي وراشيا,المجتمع المدني
فيصل عمررحل,سني,البقاع الغربي وراشيا,المجتمع المدني
علاء الدين عمر الشمالي,سني,البقاع الغربي وراشيا,المجتمع المدني
علي صهحي صهح,شيعي,البقاع الغربي وراشيا,المجتمع المدني
ماكي بديع عون,ماروني,البقاع الغربي وراشيا,المجتمع المدني
,,,
وائل وههي لهو فاعور,درزي,البقاع الغربي وراشيا,المستقبل للبقاع الغربي وراشيا
نان سليمان السكاف,روم ارثوذكس,البقاع الغربي وراشيا,المستقبل للبقاع الغربي وراشيا
زياد ناظم القادري,سني,البقاع الغربي وراشيا,المستقبل للبقاع الغربي وراشيا
محمد قاسم القرعاوي,سني,البقاع الغربي وراشيا,المستقبل للبقاع الغربي وراشيا
امين محمد وهبي,شيعي,البقاع الغربي وراشيا,المستقبل للبقاع الغربي وراشيا
هنري يوسف شديد,ماروني,البقاع الغربي وراشيا,المستقبل للبقاع الغربي وراشيا
,,,
ساعد الية هولو عردو,روم كاثوليك,بعلبك الهرمل,الأرز الوطني
عادل محمد بيان,سني,بعلبك الهرمل,الأرز الوطني
وعدصك سهكرية,سني,بعلبك الهرمل,الأرز الوطني
محمد نان مصطفى الشل,شيعي,بعلبك الهرمل,الأرز الوطني
خلدون وجيهشريف,شيعي,بعلبك الهرمل,الأرز الوطني
عباس يوسف عساف,شيعي,بعلبك الهرمل,الأرز الوطني
محمد خليل رعد,شيعي,بعلبك الهرمل,الأرز الوطني
فؤاد خليل المولى,شيعي,بعلبك الهرمل,الأرز الوطني
حمد علي دهب,شيعي,بعلبك الهرمل,الأرز الوطني
ليلىيوسف تنوري,ماروني,بعلبك الهرمل,الأرز الوطني
,,,
البر سامي منصور,روم كاثوليك,بعلبك الهرمل,الأمل والوفاء
يونس زكريا الرفاعي,سني,بعلبك الهرمل,الأمل والوفاء
الوليد محمد سمكرية,سني,بعلبك الهرمل,الأمل والوفاء
جميل محمد امين امين السيد,شيعي,بعلبك الهرمل,الأمل والوفاء
صك علي الحاجصن,شيعي,بعلبك الهرمل,الأمل والوفاء
ايهاب عروه حماده,شيعي,بعلبك الهرمل,الأمل والوفاء
علي محمد سلمان بشهر المقداد,شيعي,بعلبك الهرمل,الأمل والوفاء
ابراهيم علي الموسوي,شيعي,بعلبك الهرمل,الأمل والوفاء
غازي محمد زعيتر,شيعي,بعلبك الهرمل,الأمل والوفاء
اميل جورح رحمه,ماروني,بعلبك الهرمل,الأمل والوفاء
,,,
سهام جورح انطون,روم كاثوليك,بعلبك الهرمل,الأنماء و التغيير
عبداله محمد الشل,سني,بعلبك الهرمل,الأنماء و التغيير
سمك قاسم عز الدين,سني,بعلبك الهرمل,الأنماء و التغيير
عباس محمد ياغي,شيعي,بعلبك الهرمل,الأنماء و التغيير
علي حسين زعيتر,شيعي,بعلبك الهرمل,الأنماء و التغيير
علي صهري بله حماده,شيعي,بعلبك الهرمل,الأنماء و التغيير
شوقي طنوس الفخري,ماروني,بعلبك الهرمل,الأنماء و التغيير
