نديم قزحيا قسطه,انجيلي,بيروت الثانية,لبنان حرزان
زينةكمل منذر,درزي,بيروت الثانية,لبنان حرزان
خليل إميل برمانه,روم ارثوذكس,بيروت الثانية,لبنان حرزان
محمود عهد القادر كريدية,سني,بيروت الثانية,لبنان حرزان
رنا محمد للسهر الشميطلي,سني,بيروت الثانية,لبنان حرزان
فؤادمصطفى مخزومي,سني,بيروت الثانية,لبنان حرزان
عصام بشهر برخوث,سني,بيروت الثانية,لبنان حرزان
معروف محمود عيتاني,سني,بيروت الثانية,لبنان حرزان
ساعد الدهنصن خالد,سني,بيروت الثانية,لبنان حرزان
يوسف محمد بيضون,شيعي,بيروت الثانية,لبنان حرزان
,,,
ادكارجوزف طرابلس,انجيلي,بيروت الثانية,وجدة بيروت
عمر عهد القادر خندور,سني,بيروت الثانية,وجدة بيروت
عدنانخضر طرابلس,سني,بيروت الثانية,وجدة بيروت
محمد امين انور بعاصيري,سني,بيروت الثانية,وجدة بيروت
امين محمد ثري,شيعي,بيروت الثانية,وجدة بيروت
محمد مصطفى خواجه,شيعي,بيروت الثانية,وجدة بيروت
,,,
صك محمد زعيتر,شيعي,جبيل,التضامن الوطني
سام اسد الهاشم,ماروني,جبيل,التضامن الوطني
جان لوي لويس قرداحي,ماروني,جبيل,التضامن الوطني
كارلوس بطرس ليي ناضر,ماروني,كسروان,التضامن الوطني
جوزيف طانيوس الزايك,ماروني,كسروان,التضامن الوطني
جوزاف طانيوس زخهب,ماروني,كسروان,التضامن الوطني
زينهجوزاف الكلاب,ماروني,كسروان,التضامن الوطني
ميشال بشاره كيروز,ماروني,كسروان,التضامن الوطني
,,,
محمود ابراهيم عواد,شيعي,جبيل,التغيير الأكيد
زياد حليم الحواط,ماروني,جبيل,التغيير الأكيد
فادي نجيب روحاناصقر,ماروني,جبيل,التغيير الأكيد
روك انطوان طانيوس مهنا,ماروني,كسروان,التغيير الأكيد
باتريسيا جان الياس,ماروني,كسروان,التغيير الأكيد
شوقي جرجي الدكاش,ماروني,كسروان,التغيير الأكيد
نعمان جوزيف مراد,ماروني,كسروان,التغيير الأكيد
زياد حههب خليفه هاشم,ماروني,كسروان,التغيير الأكيد
,,,
مصطفى علي الحسيني,شيعي,جبيل,عل القرار
فارس انطون سعيد,ماروني,جبيل,عل القرار
جان نسيب الحواط,ماروني,جبيل,عل القرار
فريد هيكل الخازن,ماروني,كسروان,عل القرار
يوسف المعروفجوزف حنا خليل,ماروني,كسروان,عل القرار
يولاند سبيمون خوري,ماروني,كسروان,عل القرار
شاكر الياس سعته,ماروني,كسروان,عل القرار
جلبرت موريس زوين,ماروني,كسروان,عل القرار
,,,
محمد كرم المقداد,شيعي,جبيل,كلل وطني
رانيا فيكتور باسيل,ماروني,جبيل,كلل وطني
nadim shafiq said,ماروني,جبيل,كلل وطني
يوسف الياس يلملامه,ماروني,كسروان,كلل وطني
جوزفين انطوان زخهب,ماروني,كسروان,كلل وطني
دوري نزيهضو,ماروني,كسروان,كلل وطني
