ربيع خليل عواد,شيعي,جبيل,لبنان القوي
وليد نجيب الخوري,ماروني,جبيل,لبنان القوي
سبيمون فريد ابي رميا,ماروني,جبيل,لبنان القوي
نعمهجورح افرام,ماروني,كسروان,لبنان القوي
زياد سليم بارود,ماروني,كسروان,لبنان القوي
روجه جرجي عازار,ماروني,كسروان,لبنان القوي
شامل رشيد روكز,ماروني,كسروان,لبنان القوي
منصور فؤاد غانم البون,ماروني,كسروان,لبنان القوي
,,,
انجب اوهانس انجب هاقرادونيان,ارمن ارثوذكس,المتن,المتن القوي
الياس نقولا هوصعب,روم ارثوذكس,المتن,المتن القوي
نان اميل مخيبر,روم ارثوذكس,المتن,المتن القوي
ادكار بولس معلوف,روم كاثوليك,المتن,المتن القوي
نان اسد الاشقر,ماروني,المتن,المتن القوي
كورين قيل الأشقر,ماروني,المتن,المتن القوي
سركيس الياس سركيس,ماروني,المتن,المتن القوي
ابراهيميوسف كنعان,ماروني,المتن,المتن القوي
,,,
ارا مكرديج قيونيان,ارمن ارثوذكس,المتن,المتن قلب لبنان
lina samir mkhaiber,روم ارثوذكس,المتن,المتن قلب لبنان
جسيكا جوزيف عازار,روم ارثوذكس,المتن,المتن قلب لبنان
ميشال جورح مكتف,روم كاثوليك,المتن,المتن قلب لبنان
جيزيل ادوار عبدو نعمه هاشم,ماروني,المتن,المتن قلب لبنان
ماجد ادي فايق ابي اللمع,ماروني,المتن,المتن قلب لبنان
رازي وديع الحاح,ماروني,المتن,المتن قلب لبنان
شكري نسيب مكرزل,ماروني,المتن,المتن قلب لبنان
,,,
ميشال الياس المر,روم ارثوذكس,المتن,الوفاء المتنية
جورح جوزف عهود,روم كاثوليك,المتن,الوفاء المتنية
ميلاد فارس السبعلي,ماروني,المتن,الوفاء المتنية
شربل سمعان ابو جوده,ماروني,المتن,الوفاء المتنية
نجوى توفيق عازار,ماروني,المتن,الوفاء المتنية
,,,
جورح نعيم الرحباني,روم ارثوذكس,المتن,كلل وطني
شربل مارون نحاس,روم كاثوليك,المتن,كلل وطني
فكتوريا سابع الخوري,ماروني,المتن,كلل وطني
لديب يوسف طعمه,ماروني,المتن,كلل وطني
نادين فيكتورموس,ماروني,المتن,كلل وطني
اميلجرجي كنعان,ماروني,المتن,كلل وطني
,,,
يغيشه قره بت اندونيان,ارمن ارثوذكس,المتن,نبني المتن
فيوليت كركور عال,روم ارثوذكس,المتن,نبني المتن
مازن اسعد السكاف,روم ارثوذكس,المتن,نبني المتن
مخايل الياس الرنوز,روم كاثوليك,المتن,نبني المتن
ندى خطار عيب,ماروني,المتن,نبني المتن
سامي امين الجميل,ماروني,المتن,نبني المتن
جوزيف قزحيا كرم,ماروني,المتن,نبني المتن
الياس رائيف حنكثد,ماروني,المتن,نبني المتن
