دلال حليم الرحباني,انجيلي,بيروت الثانية,بيروت الوطن
سعيد علي حلبي,درزي,بيروت الثانية,بيروت الوطن
جورح نان شقير,روم ارثوذكس,بيروت الثانية,بيروت الوطن
صلاح الدهنيوسف سلام,سني,بيروت الثانية,بيروت الوطن
عماد مدحت الحوت,سني,بيروت الثانية,بيروت الوطن
ساعد الدهن نمر الوزان,سني,بيروت الثانية,بيروت الوطن
moustafa bashir banbouk,سني,بيروت الثانية,بيروت الوطن
محمد نبيل عثمان بدر,سني,بيروت الثانية,بيروت الوطن
بشار حسين قوتلي,سني,بيروت الثانية,بيروت الوطن
ابراهيم محمد مهدي شمس الدهن,شيعي,بيروت الثانية,بيروت الوطن
سلوى ايوب خليل,شيعي,بيروت الثانية,بيروت الوطن
,,,
نبيل رياضى السبعلي,انجيلي,بيروت الثانية,صوت الناس
هاني رامز فيات,درزي,بيروت الثانية,صوت الناس
عمر نجاح واكيم,روم ارثوذكس,بيروت الثانية,صوت الناس
فراس عهد الرحمن منيمنه,سني,بيروت الثانية,صوت الناس
يوسف عهد القادر الطهثد,سني,بيروت الثانية,صوت الناس
حنان احمد عثمان,سني,بيروت الثانية,صوت الناس
فاتن فيصل زهن,سني,بيروت الثانية,صوت الناس
ابراهيم محمد الطهي الدلال,سني,بيروت الثانية,صوت الناس
زلى توفيق الحوري,سني,بيروت الثانية,صوت الناس
نعمت هاشم بدر الدين,شيعي,بيروت الثانية,صوت الناس
,,,
رجا رفيق الزهري,درزي,بيروت الثانية,كرامة بيروت
مخايل بهاء مخايل,روم ارثوذكس,بيروت الثانية,كرامة بيروت
mhammad kheir sakih el qadi,سني,بيروت الثانية,كرامة بيروت
mhammad nabil shatila,سني,بيروت الثانية,كرامة بيروت
جهاد حسن الأحمد مطر,سني,بيروت الثانية,كرامة بيروت
حنان عدنان الشعار,سني,بيروت الثانية,كرامة بيروت
خالد محمود سود,سني,بيروت الثانية,كرامة بيروت
خلود موفق الوتار,سني,بيروت الثانية,كرامة بيروت
ali hsein sbeity,شيعي,بيروت الثانية,كرامة بيروت
,,,
نهاد سليم يذهله,انجيلي,بيروت الثانية,كلل بيروت
زينه نبيه مجدلاني,روم ارثوذكس,بيروت الثانية,كلل بيروت
فاطمه احمدمشرف,سني,بيروت الثانية,كلل بيروت
ندين محمود عيتاني,سني,بيروت الثانية,كلل بيروت
مروان وليد الطيبي,سني,بيروت الثانية,كلل بيروت
hasan faisal sinno,سني,بيروت الثانية,كلل بيروت
ابراهيمصن منيمنة,سني,بيروت الثانية,كلل بيروت
ناجي حسين قديح,شيعي,بيروت الثانية,كلل بيروت
