سهيل لسعد الأعور,درزي,بعبدا,الوفاق الوطني
فادي فخري علامه,شيعي,بعبدا,الوفاق الوطني
علي فضل عمار,شيعي,بعبدا,الوفاق الوطني
ناجي كميل غاريوس,ماروني,بعبدا,الوفاق الوطني
الانجوزف عون,ماروني,بعبدا,الوفاق الوطني
حكمت فرج دهب,ماروني,بعبدا,الوفاق الوطني
,,,
اجود محمد العيان,درزي,بعبدا,سوا لبعبدا
الفت حمزه السبع,شيعي,بعبدا,سوا لبعبدا
سعيد محمد علامه,شيعي,بعبدا,سوا لبعبدا
ايلي مخايل غاريوس,ماروني,بعبدا,سوا لبعبدا
بول شفيق ابي راشد,ماروني,بعبدا,سوا لبعبدا
رمزي جميل هو خظد,ماروني,بعبدا,سوا لبعبدا
,,,
رانيةرفعت المصري,درزي,بعبدا,كلناوطني
علي حسن درويثد,شيعي,بعبدا,كلناوطني
واصف حههب الحركه,شيعي,بعبدا,كلناوطني
زياد مخايل عقل,ماروني,بعبدا,كلناوطني
ماري كلود البر الحلو,ماروني,بعبدا,كلناوطني
جوزف انطوان وانيس,ماروني,بعبدا,كلناوطني
,,,
هادي محمد رفيق لهو الصن,درزي,بعبدا,وجدة واضاء لعهد ا
صلاح محمود الحركة,شيعي,بعبدا,وجدة واضاء لعهد ا
جوزف ميشال عضيمي,ماروني,بعبدا,وجدة واضاء لعهد ا
سبينتيا احمد رياضى الاسمر,ماروني,بعبدا,وجدة واضاء لعهد ا
بيار رشيد هو عاصي,ماروني,بعبدا,وجدة واضاء لعهد ا
,,,
سامي توفيق حماده,درزي,الشوف,القرار الحر
الحان وليد فرحات,درزي,الشوف,القرار الحر
ضان نعيم مغهغب,روم كاثوليك,الشوف,القرار الحر
رأفت احمد شعبان,سني,الشوف,القرار الحر
مازن خلف شبو,سني,الشوف,القرار الحر
كميل ميشال دوري شمعون,ماروني,الشوف,القرار الحر
دعد ناصيف القزي,ماروني,الشوف,القرار الحر
جوزاف حسيب عهد,ماروني,الشوف,القرار الحر
سامي سلمان الرماح,درزي,عاليه,القرار الحر
انطوان نسيب هو ملهم,ماروني,عاليه,القرار الحر
تيودورا طوني بجاني,ماروني,عاليه,القرار الحر
,,,
تيمور وليد جنبلاط,درزي,الشوف,المصالحة
مروان محمد حماده,درزي,الشوف,المصالحة
نعمةيوسف طعمة,روم كاثوليك,الشوف,المصالحة
محمد قاسم رشيد الحجار,سني,الشوف,المصالحة
هلال لسد عهدااة,سني,الشوف,المصالحة
ناجي نبيه البستاني,ماروني,الشوف,المصالحة
جورح جميل عدوان,ماروني,الشوف,المصالحة
خطاس سمعان الخوري,ماروني,الشوف,المصالحة
لكرمصك شهيب,درزي,عاليه,المصالحة
انيس وديع نصار,روم ارثوذكس,عاليه,المصالحة
راجي نجيب السعد,ماروني,عاليه,المصالحة
هنري بيار الحلو,ماروني,عاليه,المصالحة
