الكسندر ابراهام ماطوسيان,ارمن ارثوذكس,بيروت الأولى,بيروت الاولى القوية
هاكوب مارديروسسارس ترزيان,ارمن ارثوذكس,بيروت الأولى,بيروت الاولى القوية
ساهوح اوهانس قالباكيان,ارمن ارثوذكس,بيروت الأولى,بيروت الاولى القوية
سارح انجب جوخاداريان,ارمن كاثوليك,بيروت الأولى,بيروت الاولى القوية
انطوان قسطنطين هانو,اقليات,بيروت الأولى,بيروت الاولى القوية
نقولا ايلي شماس,روم ارثوذكس,بيروت الأولى,بيروت الاولى القوية
نقولاموريس صحناوي,روم كاثوليك,بيروت الأولى,بيروت الاولى القوية
مسعود جوزف الأشقر,ماروني,بيروت الأولى,بيروت الاولى القوية
,,,
بوليت سبيراكان ياخوهيان,ارمن ارثوذكس,بيروت الأولى,كلناوطني
لوري قره هت حيطايان,ارمن ارثوذكس,بيروت الأولى,كلناوطني
ليفونهو- تلفزهان,ارمن ارثوذكس,بيروت الأولى,كلناوطني
يوركي موريس كروز,ارمن كاثوليك,بيروت الأولى,كلناوطني
جمانه عطاالله سلوم,اقليات,بيروت الأولى,كلناوطني
زياد ريمون عبس,روم ارثوذكس,بيروت الأولى,كلناوطني
لوسيانجرجس بورجيلي,روم كاثوليك,بيروت الأولى,كلناوطني
جيلبير جورح ضومط,ماروني,بيروت الأولى,كلناوطني
,,,
ساهيوه يغيا مخجيان,ارمن ارثوذكس,بيروت الأولى,نحنا بيروت
سبيرج بارج طورسركيسيان,ارمن كاثوليك,بيروت الأولى,نحنا بيروت
رفيق جبرائيل بازرجي,اقليات,بيروت الأولى,نحنا بيروت
ميشيل جبران تويني,روم ارثوذكس,بيروت الأولى,نحنا بيروت
جورح ريمون صفير,ماروني,بيروت الأولى,نحنا بيروت
,,,
فادي بهنان زرازير,انجيلي,بيروت الثانية,البيارتة المستقلين
اندهراسد الزهري,درزي,بيروت الثانية,البيارتة المستقلين
ليون سورين سيوفي,روم ارثوذكس,بيروت الثانية,البيارتة المستقلين
خالد ابراهيم حنقير,سني,بيروت الثانية,البيارتة المستقلين
عهد الرحمنخضر الغلاهني,سني,بيروت الثانية,البيارتة المستقلين
وليد شفيق شاتيلا,سني,بيروت الثانية,البيارتة المستقلين
خالد سعيد ممتاز,سني,بيروت الثانية,البيارتة المستقلين
عهد الكريمصك عيتاني,سني,بيروت الثانية,البيارتة المستقلين
جهاد علي سود,شيعي,بيروت الثانية,البيارتة المستقلين
وسام سعيد عكوثد,شيعي,بيروت الثانية,البيارتة المستقلين
,,,
باسم الدكتوررمزي الشاب,انجيلي,بيروت الثانية,المستقبل لبيروت
فيصل عفيف الصايغ,درزي,بيروت الثانية,المستقبل لبيروت
نزيه نقولا نجم,روم ارثوذكس,بيروت الثانية,المستقبل لبيروت
تمامصائب بله سلام,سني,بيروت الثانية,المستقبل لبيروت
رولا نزار الطهثد,سني,بيروت الثانية,المستقبل لبيروت
ربيع محمد صونه,سني,بيروت الثانية,المستقبل لبيروت
زاهر وليد عيدو,سني,بيروت الثانية,المستقبل لبيروت
ساعد الدهن رفيق الحريري,سني,بيروت الثانية,المستقبل لبيروت
نهاد صالح المشنوق,سني,بيروت الثانية,المستقبل لبيروت
غازي علي يوسف,شيعي,بيروت الثانية,المستقبل لبيروت
علي كمل للشاعر,شيعي,بيروت الثانية,المستقبل لبيروت
,,,
زينه شوقي منصور,درزي,بيروت الثانية,المعارضة البيرونية
بشاره نعيمخر ايه,روم ارثوذكس,بيروت الثانية,المعارضة البيرونية
عامر احمد اسكندراني,سني,بيروت الثانية,المعارضة البيرونية
زياد غازي عيتاني,سني,بيروت الثانية,المعارضة البيرونية
اكرم محمد سانو,سني,بيروت الثانية,المعارضة البيرونية
ياسين معروف قدادو,سني,بيروت الثانية,المعارضة البيرونية
سفيه معروف ظاظا,سني,بيروت الثانية,المعارضة البيرونية
لينامحمد علي حمدان,شيعي,بيروت الثانية,المعارضة البيرونية
