نضل كرم السكاف,روم ارثوذكس,عكار,نساء عكار
خولاي خالد الأسعد,سني,عكار,نساء عكار
سدعادحسن صلاح,سني,عكار,نساء عكار
رولى محمد المراد,سني,عكار,نساء عكار
ماري سلم سالم الخوري,ماروني,عكار,نساء عكار
,,,
جهاد علي يوسف,سني,الضنية,العزم
محمد احمد طلال الفاضل,سني,الضنية,العزم
كاظم صالحخر,سني,المنية,العزم
نقولا كميل نحاس,روم ارثوذكس,طرابلس,العزم
محمد نجيب عزمي ميقاتي,سني,طرابلس,العزم
رشيد ابرا ههم المقدم,سني,طرابلس,العزم
محمد توفيق محمد راشد سلطان,سني,طرابلس,العزم
مرفث محمد فضل الهز,سني,طرابلس,العزم
محمد انس عهد ايه نديم الجسر,سني,طرابلس,العزم
علي احمد درويش,علوي,طرابلس,العزم
جان بدوي عبيد,ماروني,طرابلس,العزم
,,,
عهد السلام احمد طراد,سني,الضنية,القرار المستقل
علي فاروق الصمد,سني,الضنية,القرار المستقل
محمد محمود الحاج احمد,سني,المنية,القرار المستقل
منزه جبران صوان,روم ارثوذكس,طرابلس,القرار المستقل
محمد مصباح عوني احدب,سني,طرابلس,القرار المستقل
ناريمان هلال الجمل,سني,طرابلس,القرار المستقل
وسهم علي علوان,سني,طرابلس,القرار المستقل
هشام رياضى إبراهيم,علوي,طرابلس,القرار المستقل
انطوان روفايل خليفه,ماروني,طرابلس,القرار المستقل
,,,
جهاد مرشد الصمد,سني,الضنية,الكرامة الوطنية
عادل محمد كاظم فريقه,سني,المنية,الكرامة الوطنية
رظي انطون دياب,روم ارثوذكس,طرابلس,الكرامة الوطنية
محمد صفوح احمدعصمت شريف يكن,سني,طرابلس,الكرامة الوطنية
طه عطفت ناجي,سني,طرابلس,الكرامة الوطنية
فيصل عمر كرامي,سني,طرابلس,الكرامة الوطنية
ايمن نور الدهن عمر,سني,طرابلس,الكرامة الوطنية
عبدالناصر عهد العزيز للمصري,سني,طرابلس,الكرامة الوطنية
احمد محمود عمران,علوي,طرابلس,الكرامة الوطنية
,,,
ساح يحي العرجه,سني,الضنية,المجتمع المدني المستقل
ليمن عمر جمل,سني,الضنية,المجتمع المدني المستقل
عهدااة عهد القادر الرفاعي,سني,المنية,المجتمع المدني المستقل
فادي بيكار الجمل,روم ارثوذكس,طرابلس,المجتمع المدني المستقل
جمل نصر الدهن حمرا البدوي,سني,طرابلس,المجتمع المدني المستقل
ههه عصام نجا,سني,طرابلس,المجتمع المدني المستقل
صانصن خليل,علوي,طرابلس,المجتمع المدني المستقل
