عبدالناصرصن فران,شيعي,صور,معا نحو التغيير,
احمد محمد سعيد مروه,شيعي,صور,معا نحو التغيير,
رائد جعفر عطايا,شيعي,صور,معا نحو التغيير,الجنوب يو
ليناصن الصيني,شيعي,صور,معا نحو التغيير,
وسام نهيه الحاج,روم كاثوليك,قرى صيدا,معا نحو التغيير,
رياضى سعيد الاسعد,شيعي,قرى صيدا,معا نحو التغيير,
,,,,
هانيصن قهسي,شيعي,النبطية,الأمل والوفاء,
محمدصن رعد,شيعي,النبطية,الأمل والوفاء,
ياسين كامل جابر,شيعي,النبطية,الأمل والوفاء,
صن نظام الدهنفضل الية,شيعي,بنت جبيل,الأمل والوفاء,
ايوب فهد حميم,شيعي,بنت جبيل,الأمل والوفاء,
علي احمد بزي,شيعي,بنت جبيل,الأمل والوفاء,
انور محمد الخليل,درزي,مرجعيون وحاصبيا,الأمل والوفاء,
لسعد حليم حردان,روم ارثوذكس,مرجعيون وحاصبيا,الأمل والوفاء,
قاسم عمر هاشم,سني,مرجعيون وحاصبيا,الأمل والوفاء,
علي رشيد فيات,شيعي,مرجعيون وحاصبيا,الأمل والوفاء,
علي حسن خليل,شيعي,مرجعيون وحاصبيا,الأمل والوفاء,
,,,,
نديم سميح عسيران,شيعي,النبطية,الجنوب يستحق,
هشام محمود مفيد جابر,شيعي,النبطية,الجنوب يستحق,
مصطفى علي بدر الدهن,شيعي,النبطية,الجنوب يستحق,
محمد مصطفى قدوح,شيعي,بنت جبيل,الجنوب يستحق,
صك جهاد الشاعر,شيعي,بنت جبيل,الجنوب يستحق,
وسام كمل شروف,درزي,مرجعيون وحاصبيا,الجنوب يستحق,
شاديجرجسصد,روم ارثوذكس,مرجعيون وحاصبيا,الجنوب يستحق,
عماد فؤاد الخطيب,سني,مرجعيون وحاصبيا,الجنوب يستحق,
عباس محمدشرف الدهن,شيعي,مرجعيون وحاصبيا,الجنوب يستحق,
مرهف احمد رمضان,شيعي,مرجعيون وحاصبيا,الجنوب يستحق,
,,,,
احمد سامي اسماعيل,شيعي,النبطية,شبها حكي,
رامي سلمان عليق,شيعي,النبطية,شبها حكي,
علي محمدصن الامين,شيعي,بنت جبيل,شبها حكي,
فادي كليم سعته,روم ارثوذكس,مرجعيون وحاصبيا,شبها حكي,
عماد محمد قميحه,شيعي,مرجعيون وحاصبيا,شبها حكي,
,,,,
علي حسين حاج علي,شيعي,النبطية,صوت و احد للتغيير,
عباس علي سرور,شيعي,بنت جبيل,صوت و احد للتغيير,
صك محمد لمهن بيضون,شيعي,بنت جبيل,صوت و احد للتغيير,
احمد محمد مراد,شيعي,بنت جبيل,صوت و احد للتغيير,
نان مهنا حدهفه,درزي,مرجعيون وحاصبيا,صوت و احد للتغيير,
هلا فيليب ابوكعم,روم ارثوذكس,مرجعيون وحاصبيا,صوت و احد للتغيير,
سعيد محمد عهر,سني,مرجعيون وحاصبيا,صوت و احد للتغيير,
,,,,
احمد محمد كامل الاسعد,شيعي,النبطية,فينا نغير,
محمد فرج ايهفرج,شيعي,بنت جبيل,فينا نغير,
عهدااة محمود السلمان,شيعي,بنت جبيل,فينا نغير,
كنج محمود علم الدهن,درزي,مرجعيون وحاصبيا,فينا نغير,
منح الياسصعب,روم ارثوذكس,مرجعيون وحاصبيا,فينا نغير,
عدنانصن الخطيب,سني,مرجعيون وحاصبيا,فينا نغير,
عهر خالي رمضان,شيعي,مرجعيون وحاصبيا,فينا نغير,
رباح كاظم ابي حيدر,شيعي,مرجعيون وحاصبيا,فينا نغير,
